Node Number	X Location (m)	Y Location (m)	Z Location (m)	
127	5.71e-002	1.3843e-002	-2.0756e-006	
128	5.71e-002	1.38e-002	-1.0869e-003	
131	5.71e-002	1.3673e-002	-2.1652e-003	
133	5.71e-002	1.3462e-002	-3.2301e-003	
135	5.71e-002	1.3167e-002	-4.2751e-003	
137	5.71e-002	1.2792e-002	-5.2937e-003	
139	5.71e-002	1.2335e-002	-6.2843e-003	
141	5.71e-002	1.1805e-002	-7.2317e-003	
143	5.71e-002	1.12e-002	-8.1376e-003	
145	5.71e-002	1.0527e-002	-8.9901e-003	
147	5.71e-002	9.7872e-003	-9.7907e-003	
149	5.71e-002	8.9858e-003	-1.0531e-002	
151	5.71e-002	8.1329e-003	-1.1203e-002	
153	5.71e-002	7.2295e-003	-1.1806e-002	
155	5.71e-002	6.2749e-003	-1.234e-002	
157	5.71e-002	5.2886e-003	-1.2794e-002	
159	5.71e-002	4.2697e-003	-1.3169e-002	
161	5.71e-002	3.2245e-003	-1.3463e-002	
163	5.71e-002	2.1596e-003	-1.3674e-002	
165	5.71e-002	1.0814e-003	-1.3801e-002	
167	5.71e-002	1.8538e-011	-1.3844e-002	
3145	5.71e-002	-1.0855e-003	-1.3801e-002	
3147	5.71e-002	-2.1643e-003	-1.3673e-002	
3149	5.71e-002	-3.2299e-003	-1.3461e-002	
3151	5.71e-002	-4.2756e-003	-1.3167e-002	
3153	5.71e-002	-5.295e-003	-1.2791e-002	
3155	5.71e-002	-6.284e-003	-1.2335e-002	
3157	5.71e-002	-7.232e-003	-1.1805e-002	
3159	5.71e-002	-8.1376e-003	-1.12e-002	
3161	5.71e-002	-8.9907e-003	-1.0527e-002	
3163	5.71e-002	-9.7883e-003	-9.7896e-003	
3165	5.71e-002	-1.0529e-002	-8.9884e-003	
3167	5.71e-002	-1.1201e-002	-8.1353e-003	
3169	5.71e-002	-1.1805e-002	-7.232e-003	
3171	5.71e-002	-1.2338e-002	-6.2796e-003	
3173	5.71e-002	-1.2792e-002	-5.2929e-003	
3175	5.71e-002	-1.3168e-002	-4.2736e-003	
3177	5.71e-002	-1.3463e-002	-3.2279e-003	
3179	5.71e-002	-1.3674e-002	-2.1623e-003	
3181	5.71e-002	-1.3801e-002	-1.0833e-003	
3183	5.71e-002	-1.3843e-002	-7.7442e-007	
8673	-0.10571	-2.5322e-002	1.9896e-003	
8674	-0.10571	-2.54e-002	-1.3122e-006	
8681	-0.10571	-2.5088e-002	3.9683e-003	
8687	-0.10571	-2.47e-002	5.9226e-003	
8693	-0.10571	-2.416e-002	7.8404e-003	
8699	-0.10571	-2.3471e-002	9.71e-003	
8705	-0.10571	-2.2636e-002	1.1523e-002	
8711	-0.10571	-2.1663e-002	1.3261e-002	
8717	-0.10571	-2.0553e-002	1.4924e-002	
8723	-0.10571	-1.932e-002	1.649e-002	
8729	-0.10571	-1.7962e-002	1.7959e-002	
8735	-0.10571	-1.6491e-002	1.9318e-002	
8741	-0.10571	-1.4926e-002	2.0552e-002	
8747	-0.10571	-1.3269e-002	2.1659e-002	
8753	-0.10571	-1.1516e-002	2.2639e-002	
8759	-0.10571	-9.7066e-003	2.3472e-002	
8765	-0.10571	-7.8369e-003	2.4161e-002	
8771	-0.10571	-5.918e-003	2.4701e-002	
8777	-0.10571	-3.9636e-003	2.5089e-002	
8783	-0.10571	-1.9849e-003	2.5322e-002	
8789	-0.10571	-2.1261e-012	2.54e-002	
8791	5.71e-002	1.3425e-006	1.3842e-002	
8792	5.71e-002	1.0864e-003	1.3799e-002	
8793	5.4595e-002	1.2831e-006	1.3821e-002	
8794	5.4595e-002	1.0895e-003	1.3779e-002	
8799	5.209e-002	1.2245e-006	1.381e-002	
8800	5.209e-002	1.0932e-003	1.3767e-002	
8803	4.9585e-002	1.1652e-006	1.3791e-002	
8804	4.9585e-002	1.0966e-003	1.3748e-002	
8807	4.708e-002	1.1037e-006	1.3746e-002	
8808	4.7081e-002	1.0989e-003	1.3702e-002	
8811	4.4576e-002	1.0391e-006	1.3664e-002	
8812	4.4578e-002	1.0996e-003	1.362e-002	
8815	4.2074e-002	9.7241e-007	1.3553e-002	
8816	4.2077e-002	1.0991e-003	1.3508e-002	
8819	3.9572e-002	9.041e-007	1.3419e-002	
8820	3.9576e-002	1.0979e-003	1.3375e-002	
8823	3.7072e-002	8.3491e-007	1.3272e-002	
8824	3.7077e-002	1.0964e-003	1.3228e-002	
8827	3.4572e-002	7.6473e-007	1.311e-002	
8828	3.4579e-002	1.0946e-003	1.3065e-002	
8831	3.2074e-002	6.9353e-007	1.2914e-002	
8832	3.2085e-002	1.092e-003	1.2869e-002	
8835	2.9582e-002	6.1943e-007	1.2664e-002	
8836	2.9597e-002	1.0877e-003	1.262e-002	
8839	2.7097e-002	6.0008e-007	1.2344e-002	
8840	2.712e-002	1.0817e-003	1.23e-002	
8843	2.4622e-002	5.8147e-007	1.1958e-002	
8844	2.4652e-002	1.0744e-003	1.1915e-002	
8847	2.2153e-002	5.6089e-007	1.1533e-002	
8848	2.219e-002	1.0676e-003	1.149e-002	
8851	1.9687e-002	5.3961e-007	1.1094e-002	
8852	1.9729e-002	1.0623e-003	1.105e-002	
8855	1.7219e-002	5.1873e-007	1.0662e-002	
8856	1.7267e-002	1.0598e-003	1.0618e-002	
8859	1.4755e-002	4.9704e-007	1.0214e-002	
8860	1.4813e-002	1.0592e-003	1.0171e-002	
8863	1.2304e-002	4.7181e-007	9.6952e-003	
8864	1.2381e-002	1.0594e-003	9.6554e-003	
8867	9.8824e-003	4.4053e-007	9.0541e-003	
8868	9.987e-003	1.0599e-003	9.0234e-003	
8871	7.5051e-003	4.0186e-007	8.2641e-003	
8872	7.6362e-003	1.0627e-003	8.2425e-003	
8875	5.1389e-003	3.6161e-007	7.4417e-003	
8876	5.2753e-003	1.0805e-003	7.4083e-003	
8879	2.7224e-003	3.2937e-007	6.7815e-003	
8880	2.8177e-003	1.1173e-003	6.7092e-003	
8883	2.3209e-004	3.1648e-007	6.5246e-003	
8884	2.1625e-004	1.145e-003	6.4239e-003	
8887	-2.2431e-003	3.353e-007	6.911e-003	
8888	-2.3858e-003	1.1221e-003	6.8633e-003	
8891	-4.5523e-003	3.819e-007	7.8738e-003	
8892	-4.7557e-003	1.0866e-003	7.9106e-003	
8895	-6.6665e-003	4.4689e-007	9.2175e-003	
8896	-6.8729e-003	1.0838e-003	9.3081e-003	
8899	-8.6067e-003	5.238e-007	1.0802e-002	
8900	-8.7884e-003	1.118e-003	1.091e-002	
8903	-1.0407e-002	6.0846e-007	1.2544e-002	
8904	-1.0552e-002	1.1802e-003	1.2639e-002	
8907	-1.211e-002	6.9785e-007	1.4381e-002	
8908	-1.2215e-002	1.261e-003	1.4443e-002	
8911	-1.377e-002	7.8918e-007	1.6258e-002	
8912	-1.3833e-002	1.3522e-003	1.6274e-002	
8915	-1.5433e-002	8.8036e-007	1.8131e-002	
8916	-1.5456e-002	1.4489e-003	1.8099e-002	
8919	-1.7147e-002	9.6921e-007	1.9957e-002	
8920	-1.7131e-002	1.5477e-003	1.9881e-002	
8923	-1.8973e-002	1.0529e-006	2.1673e-002	
8924	-1.8921e-002	1.6456e-003	2.1566e-002	
8927	-2.0987e-002	1.1254e-006	2.3163e-002	
8928	-2.0911e-002	1.7372e-003	2.305e-002	
8931	-2.321e-002	1.1814e-006	2.4317e-002	
8932	-2.3134e-002	1.8145e-003	2.4218e-002	
8935	-2.5593e-002	1.2183e-006	2.5085e-002	
8936	-2.5538e-002	1.8698e-003	2.5002e-002	
8939	-2.8066e-002	1.2382e-006	2.5489e-002	
8940	-2.8039e-002	1.9005e-003	2.5415e-002	
8943	-3.0568e-002	1.2446e-006	2.5618e-002	
8944	-3.0562e-002	1.9118e-003	2.5547e-002	
8947	-3.3072e-002	1.2424e-006	2.5575e-002	
8948	-3.308e-002	1.9111e-003	2.5504e-002	
8951	-3.5574e-002	1.2361e-006	2.5447e-002	
8952	-3.5584e-002	1.9051e-003	2.5376e-002	
8955	-3.8076e-002	1.2299e-006	2.5324e-002	
8956	-3.8082e-002	1.8997e-003	2.5252e-002	
8959	-4.0581e-002	1.2278e-006	2.5282e-002	
8960	-4.058e-002	1.8994e-003	2.5211e-002	
8963	-4.3086e-002	1.2297e-006	2.532e-002	
8964	-4.3081e-002	1.9041e-003	2.5248e-002	
8967	-4.559e-002	1.2331e-006	2.539e-002	
8968	-4.5584e-002	1.9109e-003	2.5319e-002	
8971	-4.8094e-002	1.236e-006	2.5449e-002	
8972	-4.8091e-002	1.9171e-003	2.5377e-002	
8975	-5.0599e-002	1.2366e-006	2.5461e-002	
8976	-5.0599e-002	1.9204e-003	2.5389e-002	
8979	-5.3104e-002	1.2353e-006	2.5436e-002	
8980	-5.3106e-002	1.9215e-003	2.5363e-002	
8983	-5.5609e-002	1.2334e-006	2.5397e-002	
8984	-5.561e-002	1.922e-003	2.5325e-002	
8987	-5.8114e-002	1.232e-006	2.537e-002	
8988	-5.8114e-002	1.9231e-003	2.5297e-002	
8991	-6.0619e-002	1.2319e-006	2.5368e-002	
8992	-6.0618e-002	1.9259e-003	2.5295e-002	
8995	-6.3124e-002	1.2327e-006	2.5384e-002	
8996	-6.3122e-002	1.9299e-003	2.5311e-002	
8999	-6.5629e-002	1.2337e-006	2.5404e-002	
9000	-6.5628e-002	1.9341e-003	2.5331e-002	
9003	-6.8134e-002	1.2344e-006	2.5417e-002	
9004	-6.8133e-002	1.938e-003	2.5343e-002	
9007	-7.0639e-002	1.2343e-006	2.5415e-002	
9008	-7.0639e-002	1.9411e-003	2.5342e-002	
9011	-7.3144e-002	1.2338e-006	2.5406e-002	
9012	-7.3144e-002	1.9438e-003	2.5332e-002	
9015	-7.5649e-002	1.2333e-006	2.5395e-002	
9016	-7.5649e-002	1.9465e-003	2.5321e-002	
9019	-7.8154e-002	1.233e-006	2.539e-002	
9020	-7.8154e-002	1.9496e-003	2.5315e-002	
9023	-8.0659e-002	1.2331e-006	2.5392e-002	
9024	-8.0659e-002	1.9532e-003	2.5317e-002	
9027	-8.3164e-002	1.1237e-006	2.5398e-002	
9028	-8.3164e-002	1.957e-003	2.5323e-002	
9031	-8.5669e-002	9.9902e-007	2.5404e-002	
9032	-8.5669e-002	1.9608e-003	2.5328e-002	
9035	-8.8174e-002	8.7422e-007	2.5405e-002	
9036	-8.8174e-002	1.9644e-003	2.5329e-002	
9039	-9.068e-002	7.4929e-007	2.5403e-002	
9040	-9.0679e-002	1.9679e-003	2.5327e-002	
9043	-9.3185e-002	6.2432e-007	2.5399e-002	
9044	-9.3185e-002	1.9714e-003	2.5322e-002	
9047	-9.569e-002	4.994e-007	2.5396e-002	
9048	-9.569e-002	1.975e-003	2.532e-002	
9051	-9.8195e-002	3.7455e-007	2.5398e-002	
9052	-9.8195e-002	1.9789e-003	2.5321e-002	
9055	-0.1007	2.4972e-007	2.54e-002	
9056	-0.1007	1.983e-003	2.5323e-002	
9059	-0.1032	1.2487e-007	2.5402e-002	
9060	-0.1032	1.987e-003	2.5324e-002	
9063	-0.10571	1.9909e-003	2.5322e-002	
9065	5.71e-002	2.1647e-003	1.3672e-002	
9066	5.4595e-002	2.1695e-003	1.365e-002	
9069	5.209e-002	2.1756e-003	1.3638e-002	
9071	4.9585e-002	2.1809e-003	1.3618e-002	
9073	4.7081e-002	2.1838e-003	1.3572e-002	
9075	4.4579e-002	2.1831e-003	1.349e-002	
9077	4.2079e-002	2.1797e-003	1.3377e-002	
9079	3.9579e-002	2.1746e-003	1.3243e-002	
9081	3.7081e-002	2.1688e-003	1.3095e-002	
9083	3.4585e-002	2.1622e-003	1.2932e-002	
9085	3.2093e-002	2.1533e-003	1.2735e-002	
9087	2.961e-002	2.1408e-003	1.2486e-002	
9089	2.7138e-002	2.1238e-003	1.2166e-002	
9091	2.4677e-002	2.1034e-003	1.1782e-002	
9093	2.2221e-002	2.0831e-003	1.1356e-002	
9095	1.9764e-002	2.0654e-003	1.0914e-002	
9097	1.7307e-002	2.0528e-003	1.0478e-002	
9099	1.4862e-002	2.044e-003	1.0029e-002	
9101	1.2447e-002	2.0363e-003	9.5131e-003	
9103	1.0078e-002	2.0292e-003	8.8834e-003	
9105	7.7524e-003	2.0255e-003	8.1023e-003	
9107	5.398e-003	2.0476e-003	7.2433e-003	
9109	2.904e-003	2.1063e-003	6.4865e-003	
9111	1.9819e-004	2.1536e-003	6.1595e-003	
9113	-2.5211e-003	2.1175e-003	6.6692e-003	
9115	-4.9428e-003	2.0715e-003	7.8205e-003	
9117	-7.0606e-003	2.0923e-003	9.2806e-003	
9119	-8.9532e-003	2.1818e-003	1.0902e-002	
9121	-1.0684e-002	2.3216e-003	1.262e-002	
9123	-1.231e-002	2.4939e-003	1.439e-002	
9125	-1.3891e-002	2.6842e-003	1.6175e-002	
9127	-1.5477e-002	2.8841e-003	1.795e-002	
9129	-1.7116e-002	3.0877e-003	1.9686e-002	
9131	-1.8875e-002	3.2897e-003	2.1338e-002	
9133	-2.0845e-002	3.48e-003	2.281e-002	
9135	-2.3068e-002	3.6412e-003	2.3983e-002	
9137	-2.549e-002	3.7561e-003	2.4778e-002	
9139	-2.8014e-002	3.8193e-003	2.5196e-002	
9141	-3.0556e-002	3.8419e-003	2.5329e-002	
9143	-3.3084e-002	3.8397e-003	2.5285e-002	
9145	-3.5592e-002	3.8264e-003	2.5158e-002	
9147	-3.8086e-002	3.8141e-003	2.5035e-002	
9149	-4.0578e-002	3.8126e-003	2.4994e-002	
9151	-4.3075e-002	3.8213e-003	2.503e-002	
9153	-4.5578e-002	3.8345e-003	2.51e-002	
9155	-4.8087e-002	3.8463e-003	2.5158e-002	
9157	-5.0598e-002	3.8522e-003	2.5169e-002	
9159	-5.3106e-002	3.8534e-003	2.5143e-002	
9161	-5.5611e-002	3.8531e-003	2.5104e-002	
9163	-5.8113e-002	3.8543e-003	2.5076e-002	
9165	-6.0616e-002	3.859e-003	2.5074e-002	
9167	-6.312e-002	3.8659e-003	2.5089e-002	
9169	-6.5626e-002	3.8736e-003	2.5108e-002	
9171	-6.8132e-002	3.8803e-003	2.512e-002	
9173	-7.0638e-002	3.8855e-003	2.5118e-002	
9175	-7.3143e-002	3.8897e-003	2.5107e-002	
9177	-7.5648e-002	3.894e-003	2.5095e-002	
9179	-7.8153e-002	3.8991e-003	2.5089e-002	
9181	-8.0658e-002	3.9052e-003	2.5091e-002	
9183	-8.3163e-002	3.9117e-003	2.5096e-002	
9185	-8.5668e-002	3.9183e-003	2.51e-002	
9187	-8.8174e-002	3.9246e-003	2.5101e-002	
9189	-9.0679e-002	3.9305e-003	2.5097e-002	
9191	-9.3184e-002	3.9363e-003	2.5093e-002	
9193	-9.5689e-002	3.9425e-003	2.5089e-002	
9195	-9.8194e-002	3.9491e-003	2.5089e-002	
9197	-0.1007	3.9561e-003	2.5091e-002	
9199	-0.1032	3.963e-003	2.5092e-002	
9201	-0.10571	3.9695e-003	2.5088e-002	
9203	5.71e-002	3.2297e-003	1.346e-002	
9204	5.4595e-002	3.2348e-003	1.3438e-002	
9207	5.209e-002	3.2418e-003	1.3425e-002	
9209	4.9585e-002	3.2476e-003	1.3404e-002	
9211	4.7082e-002	3.2494e-003	1.3357e-002	
9213	4.458e-002	3.2453e-003	1.3274e-002	
9215	4.208e-002	3.2367e-003	1.3161e-002	
9217	3.9581e-002	3.2252e-003	1.3026e-002	
9219	3.7083e-002	3.2123e-003	1.2879e-002	
9221	3.4588e-002	3.1978e-003	1.2716e-002	
9223	3.2099e-002	3.1792e-003	1.2519e-002	
9225	2.962e-002	3.1543e-003	1.227e-002	
9227	2.7153e-002	3.1212e-003	1.1951e-002	
9229	2.4697e-002	3.0819e-003	1.1567e-002	
9231	2.2245e-002	3.0411e-003	1.1142e-002	
9233	1.9792e-002	3.0033e-003	1.0699e-002	
9235	1.7338e-002	2.9724e-003	1.0261e-002	
9237	1.4901e-002	2.9466e-003	9.8092e-003	
9239	1.25e-002	2.9212e-003	9.2924e-003	
9241	1.0153e-002	2.8949e-003	8.663e-003	
9243	7.8485e-003	2.8699e-003	7.879e-003	
9245	5.4994e-003	2.8748e-003	6.9934e-003	
9247	2.9743e-003	2.9279e-003	6.1767e-003	
9249	1.7909e-004	2.9784e-003	5.8064e-003	
9251	-2.6395e-003	2.9503e-003	6.3882e-003	
9253	-5.1044e-003	2.9338e-003	7.64e-003	
9255	-7.2234e-003	3.012e-003	9.1569e-003	
9257	-9.0972e-003	3.181e-003	1.0793e-002	
9259	-1.08e-002	3.4152e-003	1.2496e-002	
9261	-1.2394e-002	3.6904e-003	1.4228e-002	
9263	-1.3943e-002	3.9881e-003	1.5964e-002	
9265	-1.5496e-002	4.2974e-003	1.7686e-002	
9267	-1.7104e-002	4.6114e-003	1.9372e-002	
9269	-1.8835e-002	4.9232e-003	2.0985e-002	
9271	-2.0788e-002	5.2179e-003	2.2438e-002	
9273	-2.3011e-002	5.4679e-003	2.3608e-002	
9275	-2.5448e-002	5.6457e-003	2.4406e-002	
9277	-2.7991e-002	5.7428e-003	2.4826e-002	
9279	-3.055e-002	5.7766e-003	2.4959e-002	
9281	-3.3086e-002	5.7719e-003	2.4915e-002	
9283	-3.5596e-002	5.7501e-003	2.4788e-002	
9285	-3.8088e-002	5.73e-003	2.4667e-002	
9287	-4.0576e-002	5.7264e-003	2.4626e-002	
9289	-4.307e-002	5.7385e-003	2.4661e-002	
9291	-4.5572e-002	5.7575e-003	2.4729e-002	
9293	-4.8082e-002	5.7744e-003	2.4786e-002	
9295	-5.0595e-002	5.7821e-003	2.4797e-002	
9297	-5.3105e-002	5.7825e-003	2.477e-002	
9299	-5.561e-002	5.7806e-003	2.4731e-002	
9301	-5.8112e-002	5.7809e-003	2.4703e-002	
9303	-6.0614e-002	5.7864e-003	2.47e-002	
9305	-6.3118e-002	5.7956e-003	2.4714e-002	
9307	-6.5623e-002	5.8058e-003	2.4733e-002	
9309	-6.813e-002	5.8146e-003	2.4743e-002	
9311	-7.0637e-002	5.8208e-003	2.474e-002	
9313	-7.3142e-002	5.8256e-003	2.4729e-002	
9315	-7.5647e-002	5.8304e-003	2.4717e-002	
9317	-7.8152e-002	5.8364e-003	2.471e-002	
9319	-8.0657e-002	5.844e-003	2.4711e-002	
9321	-8.3162e-002	5.8523e-003	2.4715e-002	
9323	-8.5667e-002	5.8606e-003	2.4719e-002	
9325	-8.8173e-002	5.8684e-003	2.4718e-002	
9327	-9.0678e-002	5.8756e-003	2.4714e-002	
9329	-9.3184e-002	5.8826e-003	2.4709e-002	
9331	-9.5689e-002	5.8901e-003	2.4704e-002	
9333	-9.8194e-002	5.8984e-003	2.4704e-002	
9335	-0.1007	5.9071e-003	2.4705e-002	
9337	-0.1032	5.9157e-003	2.4704e-002	
9339	-0.10571	5.9237e-003	2.47e-002	
9341	5.71e-002	4.2748e-003	1.3165e-002	
9342	5.4595e-002	4.2789e-003	1.3142e-002	
9345	5.2089e-002	4.2857e-003	1.3129e-002	
9347	4.9585e-002	4.2907e-003	1.3107e-002	
9349	4.7081e-002	4.2898e-003	1.306e-002	
9351	4.458e-002	4.2806e-003	1.2977e-002	
9353	4.2081e-002	4.2647e-003	1.2864e-002	
9355	3.9582e-002	4.2445e-003	1.2731e-002	
9357	3.7085e-002	4.222e-003	1.2584e-002	
9359	3.4591e-002	4.197e-003	1.2422e-002	
9361	3.2103e-002	4.1656e-003	1.2226e-002	
9363	2.9627e-002	4.1245e-003	1.1979e-002	
9365	2.7163e-002	4.0709e-003	1.1664e-002	
9367	2.4711e-002	4.0069e-003	1.1283e-002	
9369	2.2263e-002	3.9393e-003	1.086e-002	
9371	1.9813e-002	3.8739e-003	1.0419e-002	
9373	1.7362e-002	3.8168e-003	9.9821e-003	
9375	1.493e-002	3.765e-003	9.5311e-003	
9377	1.254e-002	3.7115e-003	9.016e-003	
9379	1.021e-002	3.6532e-003	8.3897e-003	
9381	7.9221e-003	3.5902e-003	7.6069e-003	
9383	5.5761e-003	3.5526e-003	6.7041e-003	
9385	3.025e-003	3.5674e-003	5.8441e-003	
9387	1.6046e-004	3.6008e-003	5.4428e-003	
9389	-2.7346e-003	3.6077e-003	6.0794e-003	
9391	-5.2359e-003	3.6651e-003	7.4049e-003	
9393	-7.3584e-003	3.836e-003	8.9592e-003	
9395	-9.2184e-003	4.109e-003	1.0597e-002	
9397	-1.0898e-002	4.4542e-003	1.2275e-002	
9399	-1.2467e-002	4.8432e-003	1.3964e-002	
9401	-1.3987e-002	5.2557e-003	1.5646e-002	
9403	-1.5512e-002	5.6803e-003	1.731e-002	
9405	-1.7093e-002	6.1094e-003	1.8941e-002	
9407	-1.8801e-002	6.5353e-003	2.0509e-002	
9409	-2.074e-002	6.9387e-003	2.1933e-002	
9411	-2.2963e-002	7.2808e-003	2.3091e-002	
9413	-2.5412e-002	7.5234e-003	2.3884e-002	
9415	-2.7972e-002	7.655e-003	2.4302e-002	
9417	-3.0543e-002	7.6998e-003	2.4434e-002	
9419	-3.3087e-002	7.6922e-003	2.439e-002	
9421	-3.5599e-002	7.6611e-003	2.4265e-002	
9423	-3.8088e-002	7.6321e-003	2.4146e-002	
9425	-4.0572e-002	7.6257e-003	2.4105e-002	
9427	-4.3064e-002	7.6407e-003	2.4139e-002	
9429	-4.5566e-002	7.6651e-003	2.4205e-002	
9431	-4.8078e-002	7.6867e-003	2.4261e-002	
9433	-5.0593e-002	7.6956e-003	2.427e-002	
9435	-5.3103e-002	7.6944e-003	2.4244e-002	
9437	-5.5608e-002	7.6899e-003	2.4205e-002	
9439	-5.811e-002	7.6884e-003	2.4177e-002	
9441	-6.0611e-002	7.6942e-003	2.4173e-002	
9443	-6.3115e-002	7.7048e-003	2.4186e-002	
9445	-6.5621e-002	7.7168e-003	2.4204e-002	
9447	-6.8128e-002	7.7269e-003	2.4214e-002	
9449	-7.0635e-002	7.7334e-003	2.421e-002	
9451	-7.3141e-002	7.7379e-003	2.4199e-002	
9453	-7.5646e-002	7.7422e-003	2.4186e-002	
9455	-7.815e-002	7.7482e-003	2.4179e-002	
9457	-8.0655e-002	7.7564e-003	2.4178e-002	
9459	-8.3161e-002	7.7655e-003	2.4182e-002	
9461	-8.5666e-002	7.7747e-003	2.4185e-002	
9463	-8.8172e-002	7.783e-003	2.4183e-002	
9465	-9.0678e-002	7.7904e-003	2.4178e-002	
9467	-9.3183e-002	7.7977e-003	2.4172e-002	
9469	-9.5688e-002	7.8055e-003	2.4167e-002	
9471	-9.8194e-002	7.8143e-003	2.4166e-002	
9473	-0.1007	7.8238e-003	2.4166e-002	
9475	-0.1032	7.833e-003	2.4164e-002	
9477	-0.10571	7.8415e-003	2.4159e-002	
9479	5.71e-002	5.294e-003	1.279e-002	
9480	5.4595e-002	5.2962e-003	1.2766e-002	
9483	5.2089e-002	5.3017e-003	1.2752e-002	
9485	4.9584e-002	5.3048e-003	1.273e-002	
9487	4.7081e-002	5.3e-003	1.2683e-002	
9489	4.458e-002	5.2841e-003	1.2602e-002	
9491	4.2081e-002	5.2593e-003	1.2491e-002	
9493	3.9583e-002	5.2285e-003	1.2359e-002	
9495	3.7086e-002	5.1943e-003	1.2215e-002	
9497	3.4592e-002	5.1564e-003	1.2055e-002	
9499	3.2106e-002	5.1096e-003	1.1863e-002	
9501	2.9631e-002	5.0491e-003	1.1621e-002	
9503	2.7171e-002	4.971e-003	1.1311e-002	
9505	2.4721e-002	4.8776e-003	1.0937e-002	
9507	2.2276e-002	4.7774e-003	1.0521e-002	
9509	1.9827e-002	4.6781e-003	1.0087e-002	
9511	1.7378e-002	4.5875e-003	9.6555e-003	
9513	1.495e-002	4.5017e-003	9.2107e-003	
9515	1.2568e-002	4.4104e-003	8.7031e-003	
9517	1.0251e-002	4.3078e-003	8.0867e-003	
9519	7.9741e-003	4.19e-003	7.3147e-003	
9521	5.6282e-003	4.0864e-003	6.4135e-003	
9523	3.0559e-003	4.0327e-003	5.5417e-003	
9525	1.4374e-004	4.0316e-003	5.1324e-003	
9527	-2.8045e-003	4.0971e-003	5.7911e-003	
9529	-5.3364e-003	4.268e-003	7.1456e-003	
9531	-7.4651e-003	4.5636e-003	8.708e-003	
9533	-9.3165e-003	4.963e-003	1.0329e-002	
9535	-1.0979e-002	5.4341e-003	1.1969e-002	
9537	-1.2527e-002	5.9467e-003	1.3605e-002	
9539	-1.4024e-002	6.4806e-003	1.5225e-002	
9541	-1.5526e-002	7.0252e-003	1.6826e-002	
9543	-1.7084e-002	7.573e-003	1.8395e-002	
9545	-1.8773e-002	8.1161e-003	1.9909e-002	
9547	-2.0701e-002	8.6308e-003	2.1296e-002	
9549	-2.2924e-002	9.0668e-003	2.2432e-002	
9551	-2.5383e-002	9.375e-003	2.3212e-002	
9553	-2.7955e-002	9.5412e-003	2.3624e-002	
9555	-3.0536e-002	9.5968e-003	2.3753e-002	
9557	-3.3086e-002	9.5857e-003	2.371e-002	
9559	-3.5599e-002	9.5445e-003	2.3588e-002	
9561	-3.8087e-002	9.5061e-003	2.3471e-002	
9563	-4.0568e-002	9.4963e-003	2.3431e-002	
9565	-4.3058e-002	9.5137e-003	2.3464e-002	
9567	-4.556e-002	9.5432e-003	2.3528e-002	
9569	-4.8073e-002	9.569e-003	2.3582e-002	
9571	-5.0589e-002	9.5785e-003	2.3591e-002	
9573	-5.3101e-002	9.5751e-003	2.3565e-002	
9575	-5.5606e-002	9.5674e-003	2.3527e-002	
9577	-5.8107e-002	9.5635e-003	2.3498e-002	
9579	-6.0608e-002	9.5688e-003	2.3494e-002	
9581	-6.3112e-002	9.5803e-003	2.3507e-002	
9583	-6.5618e-002	9.5935e-003	2.3523e-002	
9585	-6.8125e-002	9.6042e-003	2.3533e-002	
9587	-7.0633e-002	9.6103e-003	2.3529e-002	
9589	-7.3139e-002	9.6137e-003	2.3517e-002	
9591	-7.5644e-002	9.6168e-003	2.3504e-002	
9593	-7.8149e-002	9.6221e-003	2.3496e-002	
9595	-8.0654e-002	9.63e-003	2.3495e-002	
9597	-8.3159e-002	9.6392e-003	2.3498e-002	
9599	-8.5665e-002	9.6485e-003	2.35e-002	
9601	-8.8171e-002	9.6565e-003	2.3498e-002	
9603	-9.0677e-002	9.6634e-003	2.3493e-002	
9605	-9.3182e-002	9.67e-003	2.3486e-002	
9607	-9.5688e-002	9.6772e-003	2.3481e-002	
9609	-9.8193e-002	9.6857e-003	2.3478e-002	
9611	-0.1007	9.695e-003	2.3478e-002	
9613	-0.1032	9.7039e-003	2.3475e-002	
9615	-0.10571	9.7118e-003	2.347e-002	
9617	5.71e-002	6.2846e-003	1.2333e-002	
9618	5.4594e-002	6.2842e-003	1.231e-002	
9621	5.2089e-002	6.2876e-003	1.2297e-002	
9623	4.9584e-002	6.288e-003	1.2275e-002	
9625	4.7081e-002	6.2783e-003	1.2229e-002	
9627	4.458e-002	6.2546e-003	1.215e-002	
9629	4.2081e-002	6.2196e-003	1.2042e-002	
9631	3.9583e-002	6.1767e-003	1.1914e-002	
9633	3.7086e-002	6.1292e-003	1.1774e-002	
9635	3.4593e-002	6.0766e-003	1.1619e-002	
9637	3.2107e-002	6.0124e-003	1.1433e-002	
9639	2.9634e-002	5.9301e-003	1.1197e-002	
9641	2.7175e-002	5.8244e-003	1.0897e-002	
9643	2.4728e-002	5.6979e-003	1.0534e-002	
9645	2.2284e-002	5.5606e-003	1.0131e-002	
9647	1.9837e-002	5.4223e-003	9.7089e-003	
9649	1.7389e-002	5.2925e-003	9.29e-003	
9651	1.4963e-002	5.1662e-003	8.858e-003	
9653	1.2587e-002	5.0291e-003	8.3657e-003	
9655	1.0277e-002	4.8716e-003	7.7689e-003	
9657	8.0077e-003	4.6853e-003	7.0216e-003	
9659	5.6596e-003	4.497e-003	6.1455e-003	
9661	3.0707e-003	4.3546e-003	5.2968e-003	
